game_year,WB_country_code,WB_country_name,game_city,game_name,gold,silver,bronze,sum_medals
1992,FIN,Finland,Barcelona,Barcelona 1992,1,2,2,5
1992,FRA,France,Barcelona,Barcelona 1992,9,5,18,32
1992,GBR,Great Britain,Barcelona,Barcelona 1992,6,3,12,21
1992,GHA,Ghana,Barcelona,Barcelona 1992,0,0,1,1
1992,GRC,Greece,Barcelona,Barcelona 1992,2,0,0,2
1992,HRV,Croatia,Barcelona,Barcelona 1992,0,1,3,4
1992,HUN,Hungary,Barcelona,Barcelona 1992,11,12,8,31
1992,IDN,Indonesia,Barcelona,Barcelona 1992,2,3,1,6
1992,IRL,Ireland,Barcelona,Barcelona 1992,1,1,0,2
1992,IRN,Iran,Barcelona,Barcelona 1992,0,1,2,3
1992,ISR,Israel,Barcelona,Barcelona 1992,0,1,1,2
1992,ITA,Italy,Barcelona,Barcelona 1992,6,5,9,20
1992,JAM,Jamaica,Barcelona,Barcelona 1992,0,3,1,4
1992,JPN,Japan,Barcelona,Barcelona 1992,3,8,12,23
1992,KEN,Kenya,Barcelona,Barcelona 1992,2,4,2,8
1992,KOR,South Korea,Barcelona,Barcelona 1992,14,5,16,35
1992,LTU,Lithuania,Barcelona,Barcelona 1992,1,0,1,2
1992,LVA,Latvia,Barcelona,Barcelona 1992,0,2,1,3
1992,MAR,Morocco,Barcelona,Barcelona 1992,1,1,1,3
1992,MEX,Mexico,Barcelona,Barcelona 1992,0,1,0,1
1992,MNG,Mongolia,Barcelona,Barcelona 1992,0,0,2,2
1992,MYS,Malaysia,Barcelona,Barcelona 1992,0,0,2,2
1992,NAM,Namibia,Barcelona,Barcelona 1992,0,2,0,2
1992,NGA,Nigeria,Barcelona,Barcelona 1992,0,3,1,4
1992,NLD,Netherlands,Barcelona,Barcelona 1992,2,6,8,16
1992,NOR,Norway,Barcelona,Barcelona 1992,2,4,1,7
1992,NZL,New Zealand,Barcelona,Barcelona 1992,1,6,5,12
1992,PAK,Pakistan,Barcelona,Barcelona 1992,0,0,1,1
1992,PER,Peru,Barcelona,Barcelona 1992,0,1,0,1
1992,PHL,Philippines,Barcelona,Barcelona 1992,0,0,1,1
1992,POL,Poland,Barcelona,Barcelona 1992,3,7,11,21
1992,PRI,Puerto Rico,Barcelona,Barcelona 1992,0,0,1,1
1992,PRK,North Korea,Barcelona,Barcelona 1992,4,0,6,10
1992,QAT,Qatar,Barcelona,Barcelona 1992,0,0,1,1
1992,ROU,Romania,Barcelona,Barcelona 1992,4,7,8,19
1992,RUS,Russia,Barcelona,Barcelona 1992,46,38,30,114
1992,SUR,Suriname,Barcelona,Barcelona 1992,0,0,1,1
1992,SVN,Slovenia,Barcelona,Barcelona 1992,0,0,3,3
1992,SWE,Sweden,Barcelona,Barcelona 1992,1,9,4,14
