WB_country_code,WB_country_name,Region,year,medals_cumsum,GDP_deviation,GDP_dev_sign,GDP_cumsum,ratio_medal_gdp,GDP
NLD,Netherlands,Europe,1964,15,422.08380259916976,positive,75008247399.85,1.9997800935194221e-10,18699380731.35
NOR,Norway,Europe,1964,2,556.1404451382205,positive,30532151426.62,6.5504719010933e-11,7159202706.48
NZL,New Zealand,Oceania,1964,9,852.630683746486,positive,31146496861.91,2.889570547821824e-10,7274144350.82
PAK,Pakistan,Asia,1964,3,-65.13911066142838,negative,22013859722.800003,1.3627778307739765e-10,5204955900.88
PAN,Panama,Americas,1964,0,106.6834953277416,positive,3287216300.0,0.0,776137500.0
PER,Peru,Americas,1964,0,-100.0,negative,0.0,,0.0
PHL,Philippines,Asia,1964,1,-36.8400320783105,negative,32100461040.550003,3.115220054742448e-11,5953756194.81
POL,Poland,Europe,1964,45,-100.0,negative,0.0,,0.0
PRI,Puerto Rico,Americas,1964,0,240.76383893763244,positive,10555500000.0,0.0,2570500000.0
PRK,North Korea,Asia,1964,0,-100.0,negative,0.0,,0.0
PRT,Portugal,Europe,1964,2,58.722685549102614,positive,18420282038.809998,1.0857597054085095e-10,4235608177.67
PRY,Paraguay,Americas,1964,0,-100.0,negative,0.0,,0.0
QAT,Qatar,Asia,1964,0,-100.0,negative,0.0,,0.0
ROU,Romania,Europe,1964,23,-100.0,negative,0.0,,0.0
RUS,Russia,Europe,1964,208,-100.0,negative,0.0,,0.0
SAU,Saudi Arabia,Asia,1964,0,-100.0,negative,0.0,,0.0
SDN,Sudan,Africa,1964,0,-62.35931363860715,negative,6420689655.17,0.0,1389080459.77
SEN,Senegal,Africa,1964,0,9.851077476749976,positive,5459213925.05,0.0,1188930645.34
SGP,Singapore,Asia,1964,1,64.39401321441997,positive,4107382024.1500006,2.4346408347710104e-10,894153311.42
SMR,San Marino,Europe,1964,0,-100.0,negative,0.0,,0.0
SRB,Serbia,Europe,1964,0,-100.0,negative,0.0,,0.0
SUR,Suriname,Americas,1964,0,46.65884049147531,positive,583850000.0,0.0,134400000.0
SVK,Slovakia,Europe,1964,0,-100.0,negative,0.0,,0.0
SVN,Slovenia,Europe,1964,0,-100.0,negative,0.0,,0.0
SWE,Sweden,Europe,1964,17,895.8004913481554,positive,94439810407.97,1.8000883236171055e-10,22532416750.01
SYR,Syria,Asia,1964,0,-12.830847317256563,negative,5453456941.639999,0.0,1339494267.02
TGO,Togo,Africa,1964,0,-68.27442374685158,negative,689121901.02,0.0,166104078.48
THA,Thailand,Asia,1964,0,-56.12593200765238,negative,16533234867.38,0.0,3889129942.31
TJK,Tajikistan,Asia,1964,0,-100.0,negative,0.0,,0.0
TKM,Turkmenistan,Asia,1964,0,-100.0,negative,0.0,,0.0
TON,Tonga,Oceania,1964,0,-100.0,negative,0.0,,0.0
TTO,Trinidad and Tobago,Americas,1964,3,163.89110860129503,positive,3130079274.35,9.584421789518375e-10,711893367.56
TUN,Tunisia,Africa,1964,2,-100.0,negative,0.0,,0.0
TUR,Turkey,Asia,1964,15,23.62817136939255,positive,46011111111.119995,3.260082105770923e-10,11177777777.78
TZA,Tanzania,Africa,1964,0,-100.0,negative,0.0,,0.0
UGA,Uganda,Africa,1964,0,-76.71200496593865,negative,2418749475.88,0.0,589056603.77
UKR,Ukraine,Europe,1964,0,-100.0,negative,0.0,,0.0
URY,Uruguay,Americas,1964,1,151.5530082953748,positive,8095891265.59,1.2351944550568558e-10,1970588235.29
USA,United States,Americas,1964,166,1110.0886445483166,positive,3036100000000.0,5.467540594842067e-11,685800000000.0
UZB,Uzbekistan,Asia,1964,0,-100.0,negative,0.0,,0.0
VEN,Venezuela,Americas,1964,1,195.99251612062272,positive,42346646299.17,2.361462092972402e-11,8192413793.1
VIR,United States Virgin Islands,Americas,1964,0,-100.0,negative,0.0,,0.0
VNM,Vietnam,Asia,1964,0,-100.0,negative,0.0,,0.0
WSM,Samoa,Oceania,1964,0,-100.0,negative,0.0,,0.0
WSM,Samoa,Oceania,1964,0,-100.0,negative,0.0,,0.0
XKX,Kosovo,Europe,1964,0,-100.0,negative,0.0,,0.0
YGL,Yugoslavia,Europe,1964,7,,positive,,,
ZAF,South Africa,Africa,1964,3,117.6063031177797,positive,50598779760.479996,5.928996735101386e-11,11955995217.6
ZMB,Zambia,Africa,1964,0,-19.7752610734153,negative,3660571428.5699997,0.0,839428571.43
ZWE,Zimbabwe,Africa,1964,0,-4.389880230906614,negative,5643888300.0,0.0,1217138000.0
AFG,Afghanistan,Asia,1968,0,-68.93360829750985,negative,8637778008.9,0.0,1373333366.67
ARE,United Arab Emirates,Asia,1968,0,-100.0,negative,0.0,,0.0
ARG,Argentina,Americas,1968,5,-100.0,negative,0.0,,0.0
ARM,Armenia,Asia,1968,0,-100.0,negative,0.0,,0.0
AUS,Australia,Oceania,1968,57,531.511750082117,positive,219993795199.02002,2.590982166039468e-10,32714085234.25
AUT,Austria,Europe,1968,8,288.9198818559559,positive,84106522698.84999,9.511747416600051e-11,12440625312.87
AZE,Azerbaijan,Asia,1968,0,-100.0,negative,0.0,,0.0
BDI,Burundi,Africa,1968,0,-87.33095808864199,negative,1791936671.25,0.0,183200000.0
BEL,Belgium,Europe,1968,10,415.1907041560034,positive,144934742537.99002,6.899656924825198e-11,21376353113.48
BFA,Burkina Faso,Africa,1968,0,-80.31372298055769,negative,3632622630.3200006,0.0,460442689.38
BGR,Bulgaria,Europe,1968,26,-100.0,negative,0.0,,0.0
BHR,Bahrain,Asia,1968,0,-100.0,negative,0.0,,0.0
BHS,Bahamas,Americas,1968,2,523.3539534698446,positive,2552058823.53,7.836809957356727e-10,444901960.78
BLR,Belarus,Europe,1968,0,-100.0,negative,0.0,,0.0
BMU,Bermuda,Americas,1968,0,556.0987324264653,positive,1025415327.1,0.0,150000000.0
BRA,Brazil,Americas,1968,7,-100.0,negative,0.0,,0.0
BRB,Barbados,Americas,1968,0,-100.0,negative,0.0,,0.0
BWA,Botswana,Africa,1968,0,-73.641901823945,negative,400812321.04,0.0,66248441.42
CAN,Canada,Americas,1968,11,702.7234775045041,positive,471133662484.81995,2.3347938973378754e-11,71829810519.9
CHE,Switzerland,Europe,1968,16,623.7210476239607,positive,128169185643.13998,1.2483499773922743e-10,18942729779.1
CHL,Chile,Americas,1968,0,75.66038093160874,positive,53646919963.369995,0.0,7192102966.84
CHN,China,Asia,1968,2,-78.79529252274627,negative,558280516481.99,3.5824284404603962e-12,70846276051.47
CIV,Côte d'Ivoire,Africa,1968,0,-41.184581457810786,negative,7799922307.119999,0.0,1281281277.98
CMR,Cameroon,Africa,1968,1,-60.41648844712937,negative,7103764841.030001,1.4077042559519838e-10,1046191217.8
COL,Colombia,Americas,1968,0,-30.47211253331209,negative,47311336020.89,0.0,5960212869.13
CRI,Costa Rica,Americas,1968,0,2.1405282002623762,positive,5245085245.660001,0.0,773841494.34
CUB,Cuba,Americas,1968,5,-100.0,negative,0.0,,0.0
CYP,Cyprus,Asia,1968,0,-100.0,negative,0.0,,0.0
CZE,Czech Republic,Europe,1968,37,-100.0,negative,0.0,,0.0
DEU,Germany,Europe,1968,152,-100.0,negative,0.0,,0.0
DJI,Djibouti,Africa,1968,0,-100.0,negative,0.0,,0.0
DNK,Denmark,Europe,1968,23,543.5687833814716,positive,38496378100.0,5.974588035335199e-10,13505573866.67
DOM,Dominican Republic,Americas,1968,0,-40.87394072293028,negative,8102899700.0,0.0,1079100000.0
DZA,Algeria,Africa,1968,0,-32.30118372600405,negative,26171266401.46,0.0,3852147026.77
ECU,Ecuador,Americas,1968,0,2.752536812265761,positive,19362144639.7,0.0,2582179864.15
EGY,Egypt,Africa,1968,2,-58.582780825558615,negative,21764400441.949997,9.189318149766631e-11,5932242990.65
ERI,Eritrea,Africa,1968,0,-100.0,negative,0.0,,0.0
